uf|municipio|estacao|coordenadas|lat|lon
BA|FORMOSA DO RIO PRETO|A053|Lat: 10,98ºS;  Lon: 45,71ºW|-11.014212909628926|-45.745290164182954
BA|RIACHAO DAS NEVES|estacao|11,60ºS; 54,15ºW|-11.623039986633414|-45.217635437391884
BA|BAIANOPOLIS|estacao|12,66ºS; 44,45ºW|-12.657124752708233|-44.44023037593101
BA|BARREIRAS|estacao|11,93ºS; 45,45ºW|-12.013022348658438|-45.54237869570238
BA|SÃO DESIDERIO|estacao|12,74ºS; 45,48º|-12.802362812992579|-45.49257917015065
BA|LUÍS EDUARDO MAGALHÃES|estacao|12,22º; 46,14º|-12.198392739133498|-46.02035682601975
TO|PORTO NACIONAL|estacao|10,71ºS; 48,413ºW|-10.543700535209469|-48.496493460765684
TO|DIANÓPOLIS|estacao|11,63; 48,82ºW|-11.694803426672927|-46.7957506264812
TO|ALMAS|estacao|11,57ºS; 47,17ºW|-11.42950523430038|-47.21101897511941
TO|MATEIROS|estacao|10,55ºS; 46,42ºW|-10.583008014818716|-46.50260695364466
TO|PONTE ALTA DO TOCANTINS|estacao|10,75ºS;47,54ºW|-10.749506933892768|-47.324559129857356
PI|URUÇUÍ|estacao|7,23ºS; 44,56ºW|-7.791882800335586|-44.56948594093865
PI|BOM JESUS|estacao|9,17; 44,36|-9.245738488332236|-44.5402003192691
PI|CORRENTE|estacao|10,44º6; 45,16ºW|-10.391611056075407|-45.139668233800286
PI|BARREIRAS DO PIAUI|estacao|6, 35ºS; 41,93ºW|-10.003464095901176|-45.71040797561656
MA|BALSAS|estacao|7,53º;46,04º|-8.237647993739314|-46.34275815537783
